"`project_id`","`max_followers`"
"2807863","166"
"2862294","4"
"2862977","121"
"2873371","9"
"2874293","20"
"2875658","25"
"2886485","1"
"2889040","64"
"2909754","21"
"2922620","75"
"2940997","7374"
"2978560","102"
"2987164","27"
"3004769","2"
"3018979","14"
"3036595","825"
"3036835","3"
"3040840","22"
"3048906","24"
"3063823","1251"
"3067095","805"
"3095960","1"
"3163883","1"
"3173347","12"
"3180895","20"
"3201792","47"
"3205751","9"
"3213902","480"
"3224446","66"
"3231556","4"
"3236423","96"
"3283518","167"
"3286419","24"
"3287419","6"
"3290625","12"
"3296518","47"
"3321949","2027"
"3346024","76"
"3361740","85"
"3368849","121"
"3370838","45"
"3389811","8"
"3407626","4"
"3413879","22"
"3427780","313"
"3429645","18"
"3462816","23"
"3465213","18"
"3487382","2"
"3499917","4417"
"3513117","589"
"3523460","82"
"3524332","205"
"3529137","176"
"3549651","17"
"3582345","9"
"3592410","25"
"3594572","14"
"3610783","86"
"3631888","6"
"3641172","19"
"3659421","448"
"3669790","4"
"3683487","87"
"3708910","6"
"3714509","26"
"3716978","170"
"3752385","28"
"3759006","59"
"3769056","11704"
"3770464","7"
"3814424","140"
"3827244","9"
"3863843","92"
"3872943","141"
"3874746","65"
"3877884","100"
"3893356","210"
"3908715","23"
"3961217","45"
"3983276","11"
"3992573","198"
"3997006","22"
"4019026","33"
"4026408","16"
"4035765","361"
"4045632","159"
"4058558","96"
"4069483","147"
"4115240","89"
"4120130","1059"
"4142580","40"
"4160390","20"
"4192518","6"
"4198417","340"
"4255397","269"
"4291112","586"
"4291254","1"
"4326459","8"
"4339243","11"
"4342100","1667"
"4467262","106"
"4476638","1"
"4484156","520"
"4539094","1018"
"4540322","40"
"4563307","191"
"4569976","4"
"4583981","3"
"4588007","38"
"4607985","30"
"4629745","979"
"4646758","990"
"4660569","108"
"4663721","15"
"4680920","1"
"4682471","10"
"4695209","7"
"4722740","6"
"4739172","3"
"4753416","13"
"4773093","144"
"4776433","696"
"4780077","700"
"4786655","18"
"4809226","3"
"4819374","152"
"4877698","243"
"4879481","544"
"4899910","12"
"4903941","49"
"4904730","660"
"4926223","1750"
"4929815","1"
"4933925","4099"
"4988377","327"
"4992188","27"
"4993581","79"
"5041761","7"
"5042362","9"
"5069439","15"
"5074778","18"
"5078978","3"
"5120709","96"
"5140545","226"
"5145060","541"
"5146456","2891"
"5152250","1996"
"5195927","4099"
"5216745","3708"
"5312058","120"
"5322239","1"
"5350409","1"
"5368058","21"
"5371237","14"
"5377260","1"
"5379586","289"
"5384527","50"
"5398997","2"
"5399390","1460"
"5411876","77"
"5427047","24"
"5428457","188"
"5430540","60"
"5435325","149"
"5439720","1"
"5472160","3479"
"5507363","517"
"5522468","141"
"5534759","1"
"5552730","29"
"5555823","16"
"5568720","12"
"5573155","1"
"5593627","118"
"5597614","10"
"5598479","230"
"5602838","79"
"5604899","162"
"5617024","1238"
"5636078","310"
"5718353","44"
"5731028","1"
"5741726","60"
"5784154","21"
"5798893","1"
"5812279","4"
"5817753","130"
"5829099","26"
"5927767","31"
"5942149","25"
"5944667","17"
"5979563","9"
"5989485","4"
"6005713","30"
"6013073","41"
"6068879","461"
"6085795","61"
"6087555","19"
"6095575","2"
"6096676","3359"
"6169171","59"
"6191402","19"
"6196408","320"
"6210932","36"
"6278048","1196"
"6278863","18"
"6280726","27"
"6299920","51"
"6307815","159"
"6312005","566"
"6318240","3184"
"6328765","883"
"6399055","82"
"6404061","153"
"6441856","307"
"6451691","92"
"6457494","4"
"6462793","2081"
"6476825","20"
"6496393","93"
"6499244","14"
"6505671","3"
"6533556","4"
"6571469","1"
"6587692","37"
"6753616","5"
"6800846","16"
"6843683","4"
"6853230","4"
"6882788","12"
"6916565","30"
"6962535","10"
"6988298","122"
"7013556","307"
"7089559","2"
"7105340","345"
"7132386","158"
"7146853","22"
"7164842","104"
"7170693","165"
"7182205","3"
"7198962","26"
"7199692","5"
"7215130","67"
"7222746","72"
"7240106","5433"
"7249970","529"
"7258997","2"
"7259889","8"
"7260288","420"
"7294438","184"
"7304063","784"
"7305150","32"
"7308213","181"
"7326980","94"
"7344511","2"
"7361572","8514"
"7383416","11704"
"7412153","2"
"7420900","106"
"7432562","126"
"7504851","561"
"7537997","2545"
"7553911","2"
"7556976","365"
"7570729","15704"
"7645899","6"
"7658667","5"
"7769665","44"
"7808122","9"
"7811703","8514"
"7835118","8514"
"7883108","27"
"7890973","5"
"7924929","92"
"7952993","225"
"7980702","92"
"7990763","34"
"8012811","420"
"8091268","129"
"8117762","408"
"8117944","2"
"8137228","35"
"8142691","54"
"8162617","31"
"8169424","34"
"8170478","3"
"8194675","3"
"8228397","23"
"8270641","4"
"8296041","5"
"8339162","10326"
"8339915","35"
"8346508","3"
"8390641","1"
"8404580","10"
"8416517","1"
"8427119","442"
"8450572","11"
"8475145","5"
"8485455","13"
"8515356","29"
"8532385","236"
"8596480","5"
"8732866","5"
"8742938","2"
"8758294","5"
"8769923","12"
"8772689","16"
"8776028","199"
"8784767","1473"
"8789813","1"
"8817056","2"
"8847632","1"
"8854423","6"
"8875437","375"
"8906917","432"
"8913435","26"
"8984199","2"
"9026379","27"
"9051214","348"
"9062615","30"
"9139436","23"
"9152395","143"
