"`project_id`","`number_of_commits`"
"18301813","19"
"18318098","19"
"18330509","368"
"18348479","764"
"18436362","25"
"18441369","234"
"18467332","340"
"18470725","8"
"18531668","212"
"18541265","1"
"18584403","77"
"18593060","670"
"18603606","33"
"18618001","2"
"18655199","247"
"18693379","10"
"18719162","56"
"18728073","110"
"18761063","27"
"18799354","23"
"18829446","15"
"18856552","1040"
"18857226","24"
"18909070","39"
"18911442","172"
"18919766","20"
"18928200","5"
"18934757","4"
"19007344","913"
"19007776","24"
"19015808","108"
"19019018","165"
"19061059","672"
"19098171","4"
"19152564","5"
"19152765","163"
"19186831","43"
"19271473","13"
"19317332","12"
"19391455","7"
"19458365","1"
"19511451","16"
"19522504","564"
"19578935","12"
"19587421","7"
"19616137","21755"
"19645360","50"
"19646876","322"
"19677029","26"
"19684534","43"
"19694326","455"
"19713336","73"
"19731353","51"
"19737681","47"
"19804249","114"
"19862717","28"
"19880177","17"
"19908030","101"
"19971063","193"
"19993942","2"
"20004098","175"
"20039757","716"
"20042424","78"
"20078281","3225"
"20085478","193"
"20090050","9"
"20125997","3"
"20133503","64"
"20136748","48"
"20138455","90"
"20170898","2286"
"20182001","3"
"20207238","18"
"20218338","15"
"20220674","999"
"20235558","8"
"20235707","11"
"20290778","487"
"20291110","10"
"20294415","1"
"20335711","1020"
"20363146","46"
"20370633","223"
"20390381","16"
"20409354","179"
"20429570","2157"
"20431860","172"
"20470577","29"
"20491401","44"
"20534866","2"
"20589882","29"
"20604401","7"
"20614123","562"
"20649502","144"
"20671347","20"
"20675982","24"
"20679427","289"
"20743223","474"
"20809368","159"
"20819094","60"
"20873386","7"
"20966060","105"
"20975187","65"
"21018493","81"
"21025240","27"
"21048241","27"
"21070376","7"
"21181796","22"
"21230300","3"
"21242672","4"
"21250941","15"
"21292496","58"
"21300380","8"
"21358127","5"
"21381822","20"
"21394464","1"
"21402968","10"
"21407947","89"
"21420256","110"
"21541682","2"
"21629316","91"
"21647104","34"
"21683376","160"
"21743385","28"
"21748656","56"
"21779620","100"
"21855974","123"
"21862489","3"
"21876127","65"
"21898406","92"
"21910390","14"
"22015744","505"
"22043755","329"
"22044500","970"
"22045640","145"
"22046016","596"
"22048017","13"
"22048081","177"
"22066527","310"
"22069136","60"
"22069934","54"
"22070816","99"
"22071989","197"
"22075540","139"
"22091370","25331"
"22091899","11"
"22092113","19"
"22128007","16"
"22169163","74"
"22185738","8"
"22222136","280"
"22247124","7"
"22259219","158"
"22306898","2"
"22349524","82"
"22403802","28"
"22551068","41"
"22682660","67"
"22707184","28"
"22739690","9"
"22873585","22"
"23109729","1"
"23295009","1"
"23357535","49"
"23372065","95"
"23563217","34"
"23578372","1"
"23615123","225"
"23651097","9"
"23811108","192"
"24081977","9"
"24108378","1"
"24139115","474"
"24145027","71"
"24148064","8"
"24177305","42"
"24221905","1"
"24223768","3"
"24253722","51"
"24292670","2"
"24305814","1"
"24494394","8"
"24793559","3"
"24809274","5"
"24810010","146"
